subhalo_id,subhalo_flag,logmass,logmass0,logmass1,logmass4,SubhaloCM_x,SubhaloCM_y,SubhaloCM_z,SubhaloVel_x,SubhaloVel_y,SubhaloVel_z,SubhaloHalfmassRad,MassInMaxRad,SubhaloVmax,SubhaloVmaxRad
410037,1,12.652219,11.251851,12.613408999999999,11.311283,20656.3125,470.39584400000007,15787.333008000001,125.58886000000001,56.270393000000006,-54.559074,87.905327,10.669592999999999,385.795593,0.950844
411449,1,12.602143,11.292935,12.56162,11.203572,31169.6875,26561.716797,23204.794922,67.785347,69.359978,-34.580681,114.36534099999999,10.625607,370.98373399999997,0.929241
411451,1,10.95035,10.01887,10.860567999999999,9.792196,31405.509766000003,26735.169922,23223.294922,80.26355,60.582226,35.571144,10.250003,10.623528,115.062454,9.613700999999999
411452,1,10.927876,9.79818,10.887335,9.099627,31547.591797000005,26750.777344,23090.832031,-135.183701,59.294205000000005,-39.811886,21.325163,10.173537,82.861801,6.577463000000001
413372,1,12.590036999999999,11.167735,12.558238000000001,11.105188,31904.5,18549.199219,164.33194,-79.730598,6.823339999999999,143.153183,122.04088600000001,10.229604,274.704254,0.680933
413373,1,11.476785000000001,10.340166,11.315747,10.849945,31886.761719,18523.328125,183.220459,-58.839905,109.735634,103.654007,10.299105,10.327100999999999,267.500916,0.8988360000000001
414917,1,12.470989999999999,11.007033,12.432833,11.167056,8141.709473000001,14350.506836000002,25119.160156,96.63932,123.89038799999999,-28.810036,82.24033399999999,10.532802,325.052826,0.977518
414918,1,11.926908000000001,10.455857,11.89509,10.491214999999999,7921.236328,14843.068359,24907.560547,-26.918411,74.77268199999999,145.093124,48.157291,10.128749000000001,235.74430800000002,0.7329899999999999
414919,1,11.259973,10.312984,11.178775,10.019446,7919.540039,14764.460938,25058.78125,-69.542793,138.610901,61.249886,16.546436,10.818121000000001,131.062408,11.598379
416713,1,12.591459,11.266484,12.554659,11.120796,32280.273438,17553.519531,9803.646484,61.354553,-34.770042,-91.220238,98.87222299999999,10.723563,386.449677,1.07302
418335,1,12.574881,11.058432,12.539667,11.249852,8065.231934,4540.568848,32924.808594,36.328751000000004,115.850822,-27.853462,102.59787,8.661218,343.340393,0.011778
418336,1,10.963822,9.626917,10.863265,10.16853,8086.79248,4698.754395,32929.347656,34.596264,-56.186127,2.69905,8.040963,10.292753,142.768585,2.915534
419618,1,12.513599000000001,11.416627,12.468332,10.790215,31470.429688,12969.31543,9148.550781,-10.739914,82.068336,-139.537018,105.04701200000001,10.501709,311.319305,0.9920479999999999
419619,1,11.039703,9.718621,10.999955,9.636834,31908.484375,13297.900391,9393.867188,35.887173,-94.292496,-121.36588300000001,17.363858999999998,10.119242999999999,120.87513,2.727807
419620,1,10.977733,10.018325,10.918221,9.237663000000001,31117.367188,12881.255859,9254.422852,263.499084,93.48273499999999,-292.911469,21.851971,10.485881,87.35883299999999,12.147779
419621,1,10.724960000000001,9.970576,10.616985000000001,9.36922,31813.880858999997,13124.293945,9333.532227,-97.370171,109.97953799999999,-109.584801,10.775889999999999,8.917922,129.052353,0.150539
419622,1,10.828437,9.846471000000001,10.775186999999999,8.873389999999999,31215.539062,12818.662109,9194.401367,157.24614,58.303309999999996,-341.43017599999996,16.986826,10.266466000000001,81.193176,8.485118
419624,1,10.48322,9.640213000000001,10.403207,8.876178999999999,31184.277344,12884.661133,9263.357422,225.14047200000002,106.51071200000001,-277.47643999999997,9.114831,8.696944,80.24056999999999,0.234148
421555,1,12.556524000000001,11.325097,12.513852,11.097954,33603.582031,10420.845703,11109.689453,-62.898605,156.499542,-45.572956,90.024399,10.442103,291.591461,0.985791
421557,1,10.676874,9.775343,10.59202,9.391635,33464.78125,10609.494141,11133.211914,-47.313347,38.911469,-67.98786899999999,9.420191,10.207129,88.459221,6.235518
421559,1,10.659034,9.645988000000001,10.598009,9.189884,33699.808594,10570.856445,11070.964844,-233.05896,-111.10900900000001,-30.984078999999998,10.368924,10.050329,85.76619000000001,4.6232120000000005
422754,1,12.51326,11.169284,12.480534,10.948078,8734.37207,20576.369141,11919.739258,-69.652672,-55.198338,133.39498899999998,92.716049,10.439396,293.78204300000004,0.965109
422755,1,11.504251,10.375541,11.457528,9.944065,8655.928711,20245.794922,11848.961914,34.773742999999996,99.79512,150.935532,36.668941,10.143867,135.54747,2.295706
422756,1,11.314936,10.339698,11.259951,9.429229,8500.691406,20208.132812,11760.652344,22.363773000000002,142.453171,257.102325,28.726681,11.096867,105.06920600000001,34.288371999999995
424288,1,12.454058,11.187803,12.412987,11.009949,1790.605835,19251.275391,6760.668945,-207.272827,111.26206200000001,63.420139,92.32208299999999,10.364005,283.13327000000004,0.873482
424289,1,11.440221000000001,10.503166,11.353178999999999,10.259482,1785.7950440000002,18987.177734,6752.009765999999,-83.40682199999999,-27.155872,147.225647,20.839743,10.963975999999999,143.426651,13.550295000000002
